"forest"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"
1	1.53355225085442	1.26882960607198	1.11730685801593	1.0454588401349	1.00863535439813	0.98918639830086	0.98109670857126	0.980456965673562	1.03305179900201	-0.235780369237827	-0.0224592727231281	0.099642101674982	0.157539294298548	0.187212714799911	0.202885241206353	0.209404145114254	0.209919668282046	0.167537243741626	0.619669939007055	0.709065609995954	0.819935879031224	0.898515026242563	0.936905945375209	0.955409481858984	0.968453936231859	1.02676292092831	1.09499927691604	0.500652197794324	0.428614603221739	0.33927216188688	0.275950832273807	0.245014329005211	0.230103648827614	0.219592053521724	0.172605001989626	0.11761819006262
2	1.53443896957309	1.27184830759834	1.11673962158921	1.04465332961609	1.00860011354286	0.989139500244906	0.980596663427789	0.97956463689495	1.03230086286418	-0.236494912602724	-0.0248918289563926	0.100099197049772	0.158188397767834	0.187241112891408	0.202923033004364	0.209807095826686	0.210638732394077	0.16814236961012	0.619149191259688	0.710333156815995	0.820514994383276	0.898382149516269	0.936702803382026	0.95488405424961	0.96787752644958	1.02741150936001	1.0927964071856	0.501071831258501	0.427593177654777	0.338805494133504	0.276057908149306	0.245178026647207	0.230527053458762	0.220056541049411	0.172082350836945	0.119393325645617
3	1.53182912497543	1.27025727908334	1.11621977925379	1.04497701562379	1.00859619523361	0.98902915982023	0.981409792741174	0.980165430892162	1.03381390446605	-0.234391825004141	-0.023609732565721	0.100518100907043	0.15792756230306	0.18724427037734	0.203011948481924	0.209151852914308	0.210154595366925	0.166923117309854	0.619293787195079	0.710028408747494	0.820667972115291	0.897976416285044	0.936740366463127	0.955296497829711	0.967896254233637	1.02630072030832	1.09346490887189	0.500955311708333	0.427838752385216	0.338682220291319	0.276384859619017	0.245147757239558	0.230194694597548	0.220041449664109	0.172977456500072	0.118854627821488
4	1.53406549078822	1.26849763381426	1.11878286360469	1.04594017170749	1.00854984705089	0.989010503541028	0.981643930978872	0.980071637668115	1.03371969130173	-0.236193952690595	-0.022191759960525	0.0984526940558733	0.157151423518033	0.187281619071729	0.203026982246563	0.208963177609848	0.210230176635826	0.166999036978668	0.618629688336406	0.710475826480729	0.820581729229892	0.89849964130257	0.936808479771121	0.955195101432307	0.967397025674881	1.02706417590551	1.09428126468454	0.501490461607741	0.427478210348729	0.338751717280876	0.275963229899525	0.245092869583232	0.230276402721515	0.220443742349167	0.172362242092304	0.118196784903498
5	1.53798173355376	1.27020643992224	1.11437304077631	1.04478424565986	1.00829078366157	0.988895746758275	0.981267406458821	0.979766024343729	1.0329509660181	-0.239349773386055	-0.0235687649121981	0.102006255716446	0.158082901866529	0.187490379777954	0.203119456552075	0.209266591862709	0.210476448614262	0.167618497850847	0.619545361296243	0.710500841397249	0.819243478280067	0.898396119575085	0.937258612773522	0.955393698893199	0.967530029667387	1.02749382656581	1.09271936605859	0.500752586085223	0.427458052611843	0.33983011826264	0.276046650675403	0.244730139505008	0.230116367193926	0.220336563918907	0.172016017272554	0.119455407594455
6	1.53320553560236	1.26972461850283	1.11510240892669	1.0448131966066	1.00813095868243	0.98917092130314	0.981205629155379	0.979303273718252	1.03158188285855	-0.235500976147716	-0.0231804993990663	0.10141850995057	0.158059572363645	0.187619171328169	0.202897713014827	0.20931637378492	0.210849346334896	0.168721744311134	0.620072901880683	0.709603576452971	0.818449182133093	0.898099460857207	0.936907055666564	0.955544180125386	0.967925172196573	1.02634492858948	1.09368684896163	0.500327478758189	0.428181094427684	0.340470184869594	0.276285706775196	0.245013434300606	0.229995105102874	0.220018146740524	0.172941832199704	0.118675782134361
7	1.53782865064525	1.269865981651	1.11745521440079	1.04505284410515	1.00777395094587	0.989521292772284	0.98131032476819	0.979775479441801	1.0331377791043	-0.239226414789637	-0.0232944138766129	0.0995225518468241	0.157866457538846	0.187906858397371	0.20261537364017	0.209232007058593	0.210468829425167	0.167467958510229	0.620393495009501	0.710589755876427	0.820156479315607	0.898238955375033	0.937017287644229	0.954756995515072	0.968748576855879	1.02761204817035	1.09466995731895	0.500069135623884	0.427386402775427	0.339094395853322	0.276173298093555	0.244924606212757	0.230629441029707	0.21935462365982	0.171920750914313	0.117883565235239
8	1.5347452365521	1.27018316589758	1.11663788930194	1.04585539261913	1.0076646716825	0.989936981956738	0.981291812579137	0.980811980552737	1.03314496679408	-0.236741711314794	-0.0235500100358828	0.100181175843422	0.15721974093797	0.187994918760726	0.20228039937792	0.209246924711258	0.209633587114464	0.167462166463737	0.619357589460277	0.710512530883689	0.819282598998682	0.898189135442076	0.93707006642844	0.955554759750008	0.967431975868125	1.02634058438138	1.09308792593475	0.500903898013885	0.427448632888544	0.339798593666026	0.276213444423822	0.244882075555321	0.229986579738046	0.220415578481463	0.172945332887135	0.119158411479981
9	1.53645128490049	1.27048966065945	1.1148743145524	1.04540989137082	1.00803001264163	0.989637371219047	0.981171770398297	0.97963297226831	1.0332450345719	-0.238116493984728	-0.0237969923019099	0.101602314936624	0.157578738615963	0.187700516541877	0.202521834299909	0.209343658142076	0.210583665791112	0.167381528979525	0.618857063482246	0.709761512925505	0.818867085165102	0.897683885741932	0.936530609472278	0.955093592319205	0.967636879077293	1.02613960243327	1.09385740471759	0.501307236196592	0.428053824690226	0.340133426625515	0.276620589117231	0.24531678543632	0.230358201675023	0.220250461601133	0.173107289902885	0.118538343416533
10	1.53523571883997	1.26909298102747	1.11790168040064	1.04705390891545	1.00857049347116	0.989188024527584	0.98106865287989	0.980709620651548	1.03381198759083	-0.23713695600403	-0.0226715078129669	0.0991627767443886	0.156253942146066	0.187264981594364	0.202883930746237	0.20942675319469	0.209716071657404	0.166924661982862	0.618521621107093	0.709987581855032	0.819447242592787	0.898641478009728	0.936824016919073	0.955558639236873	0.967362110683088	1.02734787545218	1.09366336514059	0.501577545279307	0.42787165186563	0.339665919137719	0.275848933814572	0.245080349303977	0.229983453536309	0.220471877850535	0.172133628864198	0.118694706070611
