"num.obs"	"min.node.size"	"type"	"mse"
100	1	"Dishonest"	7.1681037802801e-29
250	1	"Dishonest"	5.23926680373723e-28
500	1	"Dishonest"	1.87179230671253e-27
1000	1	"Dishonest"	7.2547833068414e-27
2000	1	"Dishonest"	3.02558059727468e-26
5000	1	"Dishonest"	1.82359295600839e-25
100	2	"Dishonest"	0.270831857221723
250	2	"Dishonest"	0.269460382253518
500	2	"Dishonest"	0.269619611876351
1000	2	"Dishonest"	0.26872847531423
2000	2	"Dishonest"	0.26818262307593
5000	2	"Dishonest"	0.267132904382237
100	4	"Dishonest"	0.605765662857881
250	4	"Dishonest"	0.593521937372881
500	4	"Dishonest"	0.590848990585512
1000	4	"Dishonest"	0.590747193723031
2000	4	"Dishonest"	0.587446937769792
5000	4	"Dishonest"	0.586838976293871
100	8	"Dishonest"	0.845722388017954
250	8	"Dishonest"	0.816022822309148
500	8	"Dishonest"	0.807679924862583
1000	8	"Dishonest"	0.806280104722862
2000	8	"Dishonest"	0.800161095375142
5000	8	"Dishonest"	0.798645352862398
100	16	"Dishonest"	1.04840884588358
250	16	"Dishonest"	0.946289749392624
500	16	"Dishonest"	0.923173152336713
1000	16	"Dishonest"	0.915454130342582
2000	16	"Dishonest"	0.906428501292529
5000	16	"Dishonest"	0.90414844541905
100	32	"Dishonest"	1.36385444770672
250	32	"Dishonest"	1.08209098004235
500	32	"Dishonest"	1.0083472547686
1000	32	"Dishonest"	0.978638431702023
2000	32	"Dishonest"	0.961749570842319
5000	32	"Dishonest"	0.956194148986354
100	64	"Dishonest"	1.85845857569942
250	64	"Dishonest"	1.31825838847573
500	64	"Dishonest"	1.12544584523931
1000	64	"Dishonest"	1.04576542617981
2000	64	"Dishonest"	1.00364951116336
5000	64	"Dishonest"	0.985513344141883
100	128	"Dishonest"	1.85845857569942
250	128	"Dishonest"	1.87622619897856
500	128	"Dishonest"	1.35019872869337
1000	128	"Dishonest"	1.15110259494515
2000	128	"Dishonest"	1.06273378049002
5000	128	"Dishonest"	1.01348430962089
100	256	"Dishonest"	1.85845857569942
250	256	"Dishonest"	1.87622619897856
500	256	"Dishonest"	1.88276322298233
1000	256	"Dishonest"	1.37207906488333
2000	256	"Dishonest"	1.16250105431141
5000	256	"Dishonest"	1.05778330121529
100	1	"Honest"	0.715386773349325
250	1	"Honest"	0.694410577217335
500	1	"Honest"	0.688935156919044
1000	1	"Honest"	0.690499701586184
2000	1	"Honest"	0.683575215395539
5000	1	"Honest"	0.682409638337793
100	2	"Honest"	1.01497829186034
250	2	"Honest"	0.976270112577523
500	2	"Honest"	0.975501180017092
1000	2	"Honest"	0.971969750014471
2000	2	"Honest"	0.966937992800164
5000	2	"Honest"	0.966511233598547
100	4	"Honest"	1.09781252707563
250	4	"Honest"	1.05395975222676
500	4	"Honest"	1.04777697878947
1000	4	"Honest"	1.04876312876485
2000	4	"Honest"	1.04235899609128
5000	4	"Honest"	1.0391534875269
100	8	"Honest"	1.17158950735265
250	8	"Honest"	1.05877592943253
500	8	"Honest"	1.03071002614722
1000	8	"Honest"	1.02589167169212
2000	8	"Honest"	1.01633088135248
5000	8	"Honest"	1.01574079740021
100	16	"Honest"	1.42519595241622
250	16	"Honest"	1.1385096959256
500	16	"Honest"	1.05825215379621
1000	16	"Honest"	1.02640856324076
2000	16	"Honest"	1.00996536053561
5000	16	"Honest"	1.00535065409622
100	32	"Honest"	1.87796869768099
250	32	"Honest"	1.34784587219387
500	32	"Honest"	1.15263511261116
1000	32	"Honest"	1.07007147130323
2000	32	"Honest"	1.0272012438536
5000	32	"Honest"	1.00826230258166
100	64	"Honest"	1.87822317210101
250	64	"Honest"	1.88491568921253
500	64	"Honest"	1.36157461259269
1000	64	"Honest"	1.1667031667707
2000	64	"Honest"	1.07579237488361
5000	64	"Honest"	1.02525883169345
100	128	"Honest"	1.87868331096608
250	128	"Honest"	1.8836531414479
500	128	"Honest"	1.88643160209933
1000	128	"Honest"	1.37476061347405
2000	128	"Honest"	1.16988130893315
5000	128	"Honest"	1.06495657685954
100	256	"Honest"	1.87720286782903
250	256	"Honest"	1.88310510104984
500	256	"Honest"	1.88656589506553
1000	256	"Honest"	1.8883578302608
2000	256	"Honest"	1.37712777264587
5000	256	"Honest"	1.13937974136058
