"num.obs"	"min.node.size"	"min.node.size.power"	"scaling"	"scaling.base"	"scaling.power"	"test"	"type"	"rejection.rate"	"num.batches"
100	21	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	1	250
100	21	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	1	250
100	21	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	1	250
100	21	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	1	250
100	21	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0.664	250
100	21	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	1	250
100	21	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	1	250
100	21	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	1	250
250	39	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	0.64	250
250	39	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	1	250
250	39	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	0.348	250
250	39	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	1	250
250	39	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0	250
250	39	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	1	250
250	39	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	0.988	250
250	39	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	1	250
500	62	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	1	250
500	62	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	1	250
500	62	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	1	250
500	62	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	1	250
500	62	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	1	250
500	62	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	0.872	250
500	62	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	1	250
500	62	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	1	250
1000	99	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	1	250
1000	99	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	1	250
1000	99	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	1	250
1000	99	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	1	250
1000	99	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	1	250
1000	99	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Honest"	1	250
1000	99	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Shapiro-Wilk"	"Dishonest"	1	250
1000	99	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Shapiro-Wilk"	"Honest"	1	250
2000	158	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Anderson-Darling"	"Dishonest"	1	250
2000	158	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Anderson-Darling"	"Honest"	1	250
2000	158	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Cramer-von Mises"	"Dishonest"	1	250
2000	158	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Cramer-von Mises"	"Honest"	0.988	250
2000	158	0.666666666666667	"sqrt(k_n), k_n = n^(2/3)"	"k_n"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	1	250
