"num.obs"	"min.node.size"	"min.node.size.power"	"scaling"	"scaling.base"	"scaling.power"	"test"	"type"	"rejection.rate"	"num.batches"
100	10	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Anderson-Darling"	"Dishonest"	0.72	250
100	10	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Anderson-Darling"	"Honest"	0.324	250
100	10	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Cramer-von Mises"	"Dishonest"	0.716	250
100	10	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Cramer-von Mises"	"Honest"	0.24	250
100	10	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0.024	250
100	10	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Kolmogorov-Smirnov"	"Honest"	0	250
100	10	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Shapiro-Wilk"	"Dishonest"	0.58	250
100	10	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Shapiro-Wilk"	"Honest"	0.344	250
250	15	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Anderson-Darling"	"Dishonest"	0.236	250
250	15	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Anderson-Darling"	"Honest"	0.672	250
250	15	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Cramer-von Mises"	"Dishonest"	0.204	250
250	15	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Cramer-von Mises"	"Honest"	0.636	250
250	15	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0	250
250	15	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Kolmogorov-Smirnov"	"Honest"	0.012	250
250	15	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Shapiro-Wilk"	"Dishonest"	0.248	250
250	15	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Shapiro-Wilk"	"Honest"	0.54	250
500	22	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Anderson-Darling"	"Dishonest"	0.08	250
500	22	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Anderson-Darling"	"Honest"	0.768	250
500	22	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Cramer-von Mises"	"Dishonest"	0.06	250
500	22	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Cramer-von Mises"	"Honest"	0.764	250
500	22	0.5	"sqrt(leaf.size)"	"leaf.size"	0.5	"Kolmogorov-Smirnov"	"Dishonest"	0	250
