"sex"	"age"	"all"	"bmonly"	"N1"	"N2"	"N3"	"N4"	"N5"	"N6"	"N7"	"N8"	"N9"	"N10"
1.29616263865407e-05	0.00321419527806749	0.000801626041821623	0.00174183415669098	-3.54363935142141e-05	-2.69375505164469e-05	-4.24501549816284e-05	-8.20420504021677e-05	-3.95540829262476e-05	3.24510545427177e-05	-6.44922563762494e-05	2.10973730001274e-05	-5.34607275952704e-05	-6.3922809083914e-05
-1.84832122492694e-05	0.00320213133157173	0.000873355662287622	0.00168665867871541	-1.2324651146367e-05	6.30843324718576e-05	-1.23315386885925e-05	-3.20852155382406e-05	-1.25486452401981e-05	-2.06751015272151e-05	-0.000101034485534605	-8.68255140202478e-06	-4.01378587980812e-05	-2.12845961616326e-06
1.171184424442e-05	0.00321534494967597	0.000847426850910048	0.00170426399115391	-2.21766990438084e-05	2.74425036535478e-05	-3.65348132300466e-05	-3.85433369821228e-05	-7.00761316948828e-05	-1.31192254119354e-05	-8.19854658723757e-05	2.16790341868482e-05	-4.36225088953983e-05	-4.96250257153721e-05
-3.32647525126188e-05	0.00319859928184004	0.000911838880021836	0.00175603138837748	-6.32052322905932e-05	-1.74456955943852e-05	-6.13135240263757e-05	-1.74667290392499e-05	-3.47924187326819e-05	-7.77626149385091e-07	-0.000134242778583594	1.45630480973846e-05	-2.94372619748008e-05	-3.29210438733492e-05
8.59514082554136e-07	0.00329972840510174	0.000831823011551972	0.00165994424375463	-5.70768505619632e-05	-1.07771832861758e-05	-1.54032160471798e-05	-6.73425221275291e-05	-1.97268196384895e-05	-3.57186259897809e-05	-8.46263143544487e-05	1.16425796437986e-06	-2.54430645981568e-05	-2.76291387301043e-05
-1.28632512823879e-05	0.00317609838627993	0.000811432659925051	0.00172969285837191	-0.000115606173275418	-5.35652140165282e-06	-2.54730385063173e-05	-2.83654854016853e-05	-4.54652246598442e-05	-1.11066854760483e-05	-0.000117395775261942	-4.49321529457369e-07	-4.45879732242812e-05	-2.81883809484686e-05
-1.01490130309463e-05	0.0032233672007882	0.000874053528782177	0.00170054144469849	-5.08821305638423e-05	1.17495253550374e-05	-2.7774226998437e-05	-3.97103876538489e-05	-6.3509883829633e-05	-4.74360903286076e-05	-7.65844095270351e-05	4.85054295386988e-06	2.44073057643046e-06	-7.83569103625876e-05
1.70750353143503e-05	0.00312392996768054	0.000887929603329345	0.00170581046654883	-7.23639393849331e-05	-1.05295439667063e-05	-1.3502473138486e-05	-5.39387147157822e-06	-3.77426043128952e-05	-1.06588370385713e-05	-0.000122640045987314	1.34808213391464e-05	-1.28993404097655e-06	-8.00891865308966e-05
-3.32179659026203e-05	0.00319227874857155	0.000853739816131494	0.00164214149657999	-4.59187618635679e-05	-5.54274721133884e-05	-5.58389783744296e-05	-6.72764355588761e-05	-1.76250950151889e-05	-3.70976441358095e-05	-9.05648973563015e-05	8.99245425494127e-06	-3.29739153174253e-05	-3.67647442498107e-05
1.56331690906889e-05	0.00313436354857102	0.000834505891059865	0.00171456748182573	-6.83418866109488e-05	-3.43539553743903e-05	-4.20889030685178e-05	-6.6827564733643e-05	-3.32325036215381e-05	-2.66677022704671e-05	-0.000103079566815285	-4.00689837938561e-07	-4.68847625235041e-05	-2.67665587786486e-05
2.1540413187443e-07	0.00321418045790261	0.000767071872255798	0.00166848872251654	-6.36288928935169e-06	-2.41164964808299e-06	-6.52853895378656e-05	-4.21192486024667e-05	-4.79000010345394e-05	-4.71965958090669e-05	-6.19890038025077e-05	1.07143776908625e-05	-4.79632168828938e-05	-1.21303518539513e-05
-6.18784631365543e-06	0.00314379872890316	0.000809962542438878	0.00174019919285115	-4.61545604230457e-05	-3.2524422942114e-05	-3.57539232375832e-05	-6.166843882044e-05	-3.24761392729653e-05	-1.70901344673705e-05	-7.84441980841681e-05	2.32267364066464e-05	-4.22961636737683e-05	-4.30320998263917e-05
-3.03328903874807e-05	0.0031890134061053	0.000900001909806059	0.00169527614861613	-1.20844254793417e-05	-1.02053712127104e-05	-3.95983826765022e-05	-3.78834844355878e-05	-3.04497558626076e-05	-3.20328632472209e-05	-6.15405125801385e-05	9.74834294639049e-06	-1.75557391384166e-05	-5.42639476008522e-05
-2.24519366775343e-05	0.00331176109795114	0.000890696748439051	0.00180145649627966	-3.28448010151863e-05	-4.32066058095271e-06	-3.28196557097456e-05	-2.36649891021955e-05	-3.6547130364501e-05	-7.59085925712794e-06	-3.18124585176357e-05	6.37289753397219e-05	-4.23907295638061e-05	-5.20720230132357e-05
-2.58687701351127e-05	0.0033291961747039	0.000828912422167094	0.00180750878235925	-4.9151948795496e-05	1.99475722582059e-05	-4.17547252332347e-05	-3.66506490879376e-05	-7.16926552730586e-05	-2.35035461152714e-05	-6.20417569890885e-05	-3.78184879857846e-06	-2.9536299526214e-05	-3.51687979264302e-05
-7.76362531040142e-06	0.00312439553491997	0.000934450088165576	0.00157412397581792	-4.23883362656733e-05	-4.35736273780252e-05	-5.34573270204461e-05	-3.63485364115825e-05	-7.93573424246082e-05	-1.68226882387837e-05	-4.96075937687782e-05	1.10982079875383e-05	-3.73647110021657e-05	-8.93001106383394e-05
2.41924851835146e-06	0.00323417230419698	0.000789914122190602	0.00169804045898821	-5.56843636587405e-05	-2.08596358083124e-07	-2.27431347134666e-06	-7.60552240384152e-05	-5.14349858154604e-05	-2.42231094731925e-05	-0.000127966591298436	1.18407942232058e-05	-3.00427702346813e-05	-5.19041742553606e-05
5.1102768123284e-06	0.00309478032731694	0.000867155876371613	0.00161190736098507	-3.70923796313111e-05	3.80924472275476e-05	-4.21887482518756e-05	-4.31496169821239e-05	-4.92653787710649e-05	-6.56785859919412e-06	-0.000108976190955358	-1.29630737633689e-05	-3.96397692105364e-05	-5.49029989292132e-05
-2.41677859671656e-05	0.00325902514495132	0.000893642300313265	0.00163277577760535	-3.71777799272757e-05	-3.95442150744539e-05	-6.38349898084542e-05	-5.61952164196527e-05	-7.27801370048957e-05	-9.57219050702224e-06	-0.000114329744557083	1.07001446400943e-05	-4.53337621270322e-05	-6.8170868396579e-05
-9.39966590551467e-06	0.00323764358380633	0.00094198753925873	0.00162731604474792	-1.44432668367015e-05	-1.7118859353957e-05	-2.8700998735908e-05	-5.0414105202082e-05	-2.69821190935833e-05	-2.97127763692426e-05	-0.000108825916439624	-2.05858231454837e-05	-2.78240234207164e-05	-5.66080320645887e-05
-8.81545350725221e-06	0.00331501334042525	0.000780227309819319	0.00171655823159881	-3.97047696212377e-05	5.65457875719638e-05	3.42519990460366e-07	-4.32389179021373e-05	-4.45575784360264e-06	-7.22797666194613e-06	-9.36748375499147e-05	7.95416159002454e-06	-1.35170367728616e-05	-6.47987160022694e-05
-3.41821846618672e-05	0.00318973487611904	0.000781239826822613	0.0016482663581949	-3.43504640219617e-05	1.34263493500347e-05	-4.16406527602822e-05	-7.9578660908417e-05	-5.43111839189767e-05	-4.03941621244143e-05	-0.000111338970309031	2.09093161141e-05	-4.6309239869756e-05	-5.40344194867737e-05
-1.63347785636954e-05	0.00317532465083001	0.000693704729570971	0.00165819155290074	-5.6416214712074e-05	1.01497626317549e-05	-3.29780548781179e-05	-5.44365063327411e-05	-5.66226389748083e-05	-1.54211404874663e-05	-8.3793106007326e-05	5.58560512615223e-05	-6.33347843873788e-05	-3.88571488801946e-05
-9.72800772385057e-06	0.00325274119750341	0.000876227003401415	0.00170651109758871	-7.03969845880083e-05	4.96464634885313e-06	-3.73174043732119e-05	-3.97694996301586e-05	-1.29896178099024e-05	-2.42319167998685e-05	-7.29086073923921e-05	1.68688725677313e-05	-4.3823780080417e-05	-4.96915733362613e-05
-3.97126315415798e-05	0.00330106345771897	0.000744944630007103	0.00162259342255119	-4.16307598537637e-05	1.26864172334491e-05	-4.27468626651895e-05	-8.13826752228383e-05	-7.0246200415377e-06	1.56335015010716e-05	-0.000118087811398401	-3.36316817168758e-05	-2.358287899764e-05	-3.88449040029047e-05
8.61862776486166e-06	0.00320748933238466	0.000934942144069042	0.00174707488085885	-5.58841409054726e-05	-6.64409429042256e-06	-5.42995032933743e-05	-3.28096469251857e-05	-4.01231614540998e-05	-2.60377310778655e-05	-7.00173770294925e-05	2.76256660928847e-06	-5.08539994242056e-05	-2.67690509695462e-05
-1.31951215769089e-05	0.00317117648177612	0.000853680924300964	0.00169559551757104	-2.31531327578345e-05	1.53010855423547e-06	-5.13266991716197e-05	-1.25768912531937e-05	-4.25689107714794e-06	-3.60895740531097e-05	-8.58358076105027e-05	-5.5450767158659e-06	-5.09661986001537e-05	-2.20797138332366e-05
-2.55652912088401e-05	0.00325004759857172	0.000768914487898527	0.00164830203938145	-2.32363841889993e-05	-6.22009952681074e-06	-5.00614536195221e-05	-5.99259229903685e-05	-6.35916031227496e-06	-2.56756025690948e-05	-7.29178085517159e-05	5.34222567577383e-05	-2.56783997975843e-05	-5.68812969594086e-05
-3.00887146023381e-05	0.00338236969868518	0.000880358323339083	0.00171585926919698	-4.99504538570549e-05	3.90220261780798e-05	-5.91283332986616e-05	-7.97647983230398e-05	-4.70733564029199e-05	-2.47123492320653e-05	-0.000115793930352973	5.1302517132869e-05	-3.21955833131105e-05	-5.07484711202859e-05
-1.91441434487287e-05	0.00325937718786297	0.000936180493016436	0.0017079944448161	-4.33198714147559e-05	-1.53795063871193e-05	-5.61828203406585e-05	-3.91548284782291e-05	-4.13851542576595e-05	-3.05462534632991e-05	-9.47002334251623e-05	5.29517097945017e-05	-9.12818640251307e-05	-5.41962216290766e-05
-4.0762696221095e-05	0.0031556453938508	0.000783155374509904	0.00174957807315096	-4.50363352240831e-05	1.50684067859878e-05	-2.11042846619758e-05	-2.46335921142388e-05	-1.70952697731533e-05	-7.62789188383106e-06	-6.59996457015259e-05	1.98332494534932e-05	-4.42747574177604e-06	-3.06049949025966e-05
-4.49994537954196e-06	0.00327108515569093	0.000839018018553461	0.00173311304434043	-6.08637079116119e-05	-5.13506637940808e-08	-6.83305586605367e-05	-6.36984219789999e-05	-2.08963626843277e-05	-3.98879989021881e-05	-7.34050150173558e-05	2.56663124972649e-05	-4.63220033667255e-06	-6.49320341834104e-05
-3.2348948239946e-05	0.00323890823585575	0.000870189327558287	0.00168698835515842	-4.19023383571396e-05	1.70118618609254e-05	-3.19008971285749e-05	-5.15113941219794e-05	-6.8207655039499e-05	-2.17688817347716e-05	-7.32631176860406e-05	1.06865045442713e-05	-1.70079711820758e-05	-5.24561292720901e-05
-2.05014986663793e-06	0.00313275314839896	0.000892765740566809	0.00167889073094623	-3.6478444264731e-05	-7.27681037087952e-06	-3.5583316004615e-05	-7.24908588669348e-05	-4.76926555219283e-05	-3.45544163007005e-05	-8.03897687534597e-05	3.42539391948459e-05	-4.3599780478213e-05	-6.52376816920761e-05
-1.34190189412945e-05	0.00322608387713249	0.000868896940380812	0.00168358474235724	-3.92155024098407e-05	-6.02496897897253e-06	-1.6058531476303e-05	-4.91813297059157e-05	-7.59825746758708e-05	-3.21528718286154e-05	-0.000101479896776451	2.26293319058501e-05	4.67627196905651e-06	-5.81341711840063e-05
-2.3472793838086e-05	0.0031403267337448	0.000931687146423039	0.00167725076097618	-1.3540056098805e-05	2.11547328237527e-07	-4.66379170017414e-05	-0.000111534114223304	-2.97312976021034e-05	-1.86943577521854e-05	-0.000100502743535747	2.62751693985442e-05	-5.46811167866816e-05	-2.48731255498731e-05
-3.11474028910565e-05	0.00316220885443717	0.000825243566121193	0.00158523044027913	-3.69105674177884e-05	-4.92384680158782e-05	-4.69375494367733e-05	-2.35482114699748e-05	-7.48833459829121e-05	-2.67275480313141e-05	-9.21831413459617e-05	2.31726255391713e-05	-1.61177316307721e-05	-3.62315766057603e-05
-4.68189587944595e-06	0.00324700078336296	0.00079316617902175	0.00172446677107615	-5.22961687353041e-05	4.2664764695462e-06	-4.51749659317419e-05	-6.86019250870488e-05	-4.66082918552566e-05	4.1990683691891e-06	-0.000117756109805545	-4.34260535812625e-06	-4.626647567842e-05	-2.84921127039359e-05
-3.16598718361681e-05	0.00321130943160129	0.000902574406447027	0.00161201721267828	-5.57222302813827e-05	-7.18440452834079e-05	-2.67481388764929e-06	-7.37198307967911e-05	-1.55888896976447e-05	-2.73317557676865e-05	-5.92960133502252e-05	5.29774593826369e-05	-2.93289958370533e-05	-5.94264554674572e-05
-5.3489066174307e-06	0.00331943732042767	0.000856191399337433	0.00169857904844245	-5.72331977046697e-05	-3.03318909600306e-05	-1.52002162724481e-05	-1.11329426839639e-05	-6.29542922436176e-05	-2.63219925039218e-05	-4.16592857050037e-05	1.41805154970361e-05	-6.91220677155097e-06	-6.77515626034135e-05
-1.30988984400667e-05	0.00322563488216855	0.000845814106516298	0.00168266829831958	-6.17110179883086e-05	-2.27062289563535e-05	-2.89170134126012e-05	-4.47261504624856e-05	1.49741849258985e-05	-2.24363690272353e-05	-8.19397068893407e-05	2.34595459261789e-05	-3.29120329798915e-05	-2.82495623682662e-05
-1.23934765054652e-05	0.0031492468012742	0.000867151736663894	0.00171616467378707	-3.29557058570713e-05	-2.52109660597708e-05	-7.33670468688122e-05	-2.44874450726541e-05	-6.28933679293923e-05	-4.78319228491597e-05	-8.89128214577673e-05	2.42557441981289e-05	-1.50986730934829e-05	-3.09416113374618e-05
-2.93508009571878e-05	0.00309406656446734	0.000856721802783784	0.00175158043309322	-3.80894279804587e-05	1.60587016292764e-05	-1.95465805733931e-05	-1.32308757728175e-05	-4.75568843339167e-05	-2.03060960270002e-05	-7.87936604043866e-05	4.32122604741086e-06	-2.21358973689479e-05	-4.9442781882473e-05
-3.08586530740116e-05	0.00324964484318344	0.000924227429647428	0.00175433426411474	-2.50367988734493e-05	7.19676001498631e-06	-2.68202664044911e-05	-4.32889911197353e-05	-2.9621293093652e-05	-1.30805463782744e-05	-0.000108280287772525	1.206327490372e-05	-5.56324579581172e-05	-3.99250635448251e-05
9.87768142067802e-08	0.00318803544717507	0.000925072748644982	0.00175580213434218	-4.51531076258058e-05	-8.73826993928151e-06	-4.03418808103603e-05	-4.06968803282113e-05	-7.81075772588608e-06	-1.21555785932583e-05	-0.000110597560448575	1.50958606419648e-05	-2.95640577369315e-05	-2.02267109463002e-05
1.22931005633813e-05	0.00331623892798233	0.000789900714739272	0.00163131622820757	-3.30900037084977e-05	2.06357493351088e-05	-1.09752585859288e-05	-6.8741647507875e-05	-5.9265731990177e-05	-1.56264529016925e-05	-0.000119918348870425	1.95071198232893e-05	-3.44017836649199e-05	-5.16220087784703e-05
-1.97203987262247e-05	0.00320804899394877	0.000747808875282091	0.00170307329969855	-1.67157893066916e-05	-2.66507415782694e-05	-2.92859472011632e-05	-3.83373575407342e-06	-4.0571155822997e-05	-4.94240431061516e-05	-4.58345543454302e-05	5.65838838268479e-06	-2.81721553071001e-05	-3.72806773843808e-05
4.82605583938606e-06	0.00332398408872108	0.000878577385752556	0.00168536005663987	-5.07573375172788e-05	-5.54657948516296e-06	-5.21233293392587e-05	-5.08784487480825e-05	-1.30027318268218e-05	-1.01592475501258e-05	-7.76710565345465e-05	-1.19826220598875e-05	-5.25378841516784e-05	-5.34179912781111e-05
9.94962259321741e-06	0.00325145341939668	0.000795300053570583	0.00161335638361891	-4.85540357965669e-05	-2.8690724307903e-05	-2.75626855248172e-05	-6.34226752220117e-05	-1.65438958442549e-05	-3.63605618158165e-05	-0.000106699944282192	2.71008403133353e-05	-4.1494865525359e-05	-7.35400749002127e-05
5.990182871495e-06	0.00324323672196314	0.000845777503599882	0.00168444222790734	-4.87357073350599e-05	-4.68578772135267e-05	-6.33366949658653e-05	-6.23208199594313e-05	1.12754031822385e-05	-2.30218134874139e-05	-0.000107524498932524	4.48049162920587e-05	-5.36386408834019e-05	-5.97042153087526e-05
3.36244349500154e-05	0.0032186742442612	0.000836181339217709	0.00163555245414574	-4.33670738085231e-05	4.27861122918688e-06	-5.55664066295704e-05	-2.07686144125797e-05	-2.09172382547289e-05	-1.45003476470817e-05	-8.06006819930749e-05	2.87056254586762e-05	5.79606219960416e-06	-4.27689306764946e-05
-4.33571621414641e-05	0.00327432926889641	0.000847386387731257	0.00165111294427823	-1.92554253022869e-05	-2.0470060235948e-05	-5.89316627748661e-05	-3.30809891597096e-05	-2.55948027553132e-05	-4.81177234672336e-06	-6.73548861873352e-05	2.52862443151789e-05	-3.35275901804812e-05	-4.92870105598103e-05
-2.8622176588125e-06	0.00328522894522362	0.000718427753557491	0.00171482999295674	-7.00518922592843e-05	-1.66476737644528e-07	-3.0620611934517e-06	-7.97232179855777e-05	-3.21394180426051e-05	2.8852464793816e-06	-5.29055743487578e-05	2.71430768716304e-05	-2.16030500710575e-05	-3.92200719329963e-05
6.97535858630649e-06	0.00319830571246183	0.000859491634232934	0.00167973625640048	-4.70250996893312e-05	2.773898156223e-05	-6.37935877757763e-05	-1.94261637042702e-05	-4.78037016036184e-05	-1.80692497673136e-05	-9.53842040727014e-05	2.04770296621684e-05	-1.31902536395128e-05	-2.05466567074598e-05
-3.51380257364013e-05	0.00330962161857482	0.000895685957671087	0.00171787275179245	-1.79331433335668e-05	8.93292499967463e-06	-1.43557668993233e-06	-1.43881973823495e-05	-5.90735254226116e-05	-1.36354480840555e-05	-6.40341653039443e-05	1.47379251690615e-05	-4.78705037222857e-05	-6.93200447354092e-06
1.5472599429986e-05	0.00310965155393202	0.000809158457063834	0.00163885381855733	-5.094698595213e-05	-2.19898025865639e-07	-4.22807028293347e-05	-1.55498400881466e-05	-2.45212601300618e-05	-2.49681181775717e-05	-8.37191670427694e-05	1.17973126451057e-05	-2.22701633601849e-05	-5.89900344577952e-05
2.42626490027609e-06	0.00327997947062575	0.000822944571314993	0.00174208557354649	-1.78510081089195e-05	-1.3907276332687e-05	-5.42933882808082e-05	-7.91132678657836e-05	-1.04520486861944e-05	-2.86373098393495e-05	-0.0001258566737708	5.30597109819529e-05	-3.0821123836023e-05	-6.82449887498792e-05
1.45445667032157e-05	0.00333112702292799	0.000798414038851906	0.0016942440478393	-4.63553431801641e-05	2.01025929963616e-05	-3.94244870531326e-05	-4.57961264844472e-05	-8.18351212339163e-05	-1.73070130430424e-05	-9.67972980198567e-05	1.94370514894666e-05	-2.78289244831527e-05	-6.31213602904178e-05
-1.63689530205306e-05	0.00338428681632278	0.000867748489359962	0.00166270515983996	-2.52154148459619e-05	2.98145345327429e-05	-1.03569234412893e-05	-4.77017346406847e-05	-2.31404652899169e-05	-1.48786626951057e-05	-7.27199682296224e-05	4.22317543812215e-05	-3.72413319855808e-05	-8.24434093983656e-05
-1.26046363056672e-05	0.00320619879526028	0.000877784035483332	0.00172051023746735	-2.15260621370767e-05	-5.74649217459444e-06	-9.52518568618558e-05	-7.87489173247487e-05	-3.46221149099319e-05	-5.69924741040417e-05	-6.74458361121134e-05	2.98680180181919e-05	-6.21853493932555e-05	2.63156875617732e-07
9.27253869057104e-06	0.00317692175997367	0.000759014750324009	0.00170818294009681	-3.20978163399425e-05	-1.22502345890912e-05	-2.23816007366407e-05	-4.5470538900355e-05	-3.70778711391214e-05	-2.98554889676055e-05	-0.000110552077052378	1.65271505269109e-05	-3.38057011732656e-05	-6.49550777212491e-05
-1.82981911480624e-05	0.00325052723292215	0.000787996461540601	0.00168581965471144	-2.90762174605877e-05	8.78030945080538e-06	-3.60476019232683e-05	-2.30882347839084e-05	-3.5336247457151e-05	-3.18366119458672e-05	-9.91012821503419e-05	2.04053128653202e-05	-3.60556550877959e-05	-7.51587048579785e-05
-2.53521553974944e-05	0.00313225260451981	0.000823128109470224	0.00164162318122921	-2.91491883934281e-05	-3.29639849456315e-05	-3.62878199275888e-05	-5.28790481213875e-05	-3.46267515411791e-05	-3.71413899199112e-05	-9.63267443001765e-05	5.8686939638994e-05	-5.17008036729804e-05	-5.14527738158234e-05
-5.79623751805092e-07	0.00326973927195317	0.000745900651843043	0.00168588098909913	-4.94676103141206e-05	-8.39812715430344e-06	-2.99987216829894e-06	-6.17558911342105e-05	-4.47110929001192e-05	3.29480755888861e-06	-6.63586448395913e-05	6.53461509112974e-06	-3.90531476576287e-05	-4.87296141052474e-05
-1.23948760030238e-05	0.00313152743186503	0.000872770948780627	0.00181889294577704	-5.19105256463051e-05	-5.27587596764807e-05	-3.25042845504829e-05	-1.09589193245735e-05	-3.75190993753424e-05	-1.14916821592875e-05	-8.39362386955673e-05	3.71909022501672e-05	-1.94892819383248e-05	-0.000101280525922184
3.57786984700637e-06	0.0032390073468318	0.000782594372722231	0.0016687761436461	-2.54331801555973e-05	-1.86988836334608e-05	-4.29177854642254e-05	-2.30855195045687e-06	-5.89071134943049e-05	-2.98888918709667e-06	-6.25000562854947e-05	-7.12949208852626e-06	-6.34727802909857e-05	-4.07543043449363e-05
-1.81247210976576e-06	0.003230941338198	0.000804401078615147	0.00168024148422833	-3.27457956136214e-05	2.93357177558061e-05	-2.10494761283416e-05	-5.28038929627044e-05	-5.72148044629454e-05	-5.30445322123105e-05	-5.77618757787752e-05	2.42737947117903e-05	-2.90932333248663e-05	-7.02999869333264e-05
-5.72393834649032e-06	0.0032039963398383	0.000824719604281191	0.00166071137596024	-5.796674291278e-05	1.65401503182377e-06	-2.23816187604786e-05	-3.74517670479235e-05	-3.79005491139683e-05	-4.26774745235298e-05	-5.94308948564066e-05	5.53889759852017e-06	-4.11776381532371e-05	-2.04139169291441e-05
-3.98473532431429e-05	0.00328118739755312	0.000804522544612944	0.00158000395399577	-4.63887270725048e-05	3.54192606053548e-05	-6.30459893667392e-05	-3.006433674132e-05	-2.76581615136363e-05	-1.90109998711216e-05	-6.85411121929606e-05	1.48913882841664e-05	-2.5286012949649e-05	-4.23150765788637e-05
-1.99828191021585e-05	0.00330516635279106	0.000704014942580104	0.00165968239537415	-4.51989206207549e-05	-2.53724031755928e-05	-2.5910331248783e-05	-4.44364981832422e-05	-3.20347529313373e-05	-3.16051687473695e-06	-5.64002594419251e-05	3.71272196224684e-05	-3.15749895982208e-05	-7.26259584979445e-05
4.60572553186167e-06	0.00319196671405198	0.000803947429762266	0.00172451889714651	-5.44907099843743e-05	-1.01621039630303e-05	-1.97553629276067e-05	-2.41219835236061e-05	-3.98133748630629e-05	-1.63234529474808e-05	-0.000107468805934763	1.50323664655378e-05	-6.74983923208972e-07	-4.6843470052839e-05
-3.17781191605926e-05	0.00331759823108599	0.000825480206989139	0.00173081697215757	-4.45449573857187e-05	-4.45846259269808e-05	-6.62578754719329e-05	-5.81062923417862e-05	1.55654753883816e-06	-2.09316255484358e-05	-8.51780825156299e-05	-1.49034524934641e-05	-7.51495620208685e-05	-4.36900123991795e-05
7.37806682545877e-06	0.00324681077908445	0.000936453684077125	0.00153627337544462	-3.68415490559491e-05	-1.61043252875684e-05	-3.87469673372315e-05	-6.67979505409938e-05	-5.4548839242569e-05	-1.39953722954461e-05	-9.72451543250907e-05	1.28755684082515e-06	-2.77074443172565e-05	-6.68719573197119e-05
1.54520794545789e-05	0.00327746656024722	0.000853931092386101	0.00159680856717588	-5.00787542813942e-05	4.51372181398907e-05	-2.45066800500028e-05	-4.01871751867677e-06	1.16580789153693e-05	-3.14108795424493e-05	-6.534501556033e-05	-4.10222750740541e-06	-4.19749279091632e-05	-1.85568106306801e-05
-3.2103757259391e-05	0.00318667041220544	0.000808768789095402	0.00163934483292811	-4.39015752795361e-05	-4.57921187411959e-05	-5.53519574958699e-05	-8.32578243091179e-05	1.07569610494901e-05	-1.49622753670325e-05	-8.46160569364128e-05	3.34537364976117e-05	-2.53835314773853e-05	-2.38070223874623e-05
